Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment _method 
8/18/2025,10:29,BKG100000,Success,CUST3994,Prime SUV,KR Puram,Ulsoor,7,17,,,,,,1208.83,3.01,4.5,3.7,Cash
8/8/2025,15:22,BKG100001,Success,CUST9517,Mini,MG Road,Nagarbhavi,8,13,,,,,,1010.74,21.72,3.9,3.9,UPI
8/9/2025,11:46,BKG100002,Success,CUST5825,Bike,Bannerghatta Road,Peenya,8,19,,,,,,1159.86,19.91,3.2,3.7,UPI
8/7/2025,18:57,BKG100003,Cancelled by Driver,CUST1713,Bike,Bommanahalli,Whitefield,,,,,The customer was coughing/sick,,,,,,,UPI
8/8/2025,20:05,BKG100004,Success,CUST5526,Prime Sedan,Sarjapur Road,Sadashivanagar,5,19,,,,,,493.62,47.71,3.5,4.1,UPI
8/9/2025,0:05,BKG100005,Success,CUST3763,Prime Sedan,JP Nagar,Malleswaram,5,5,,,,,,968.85,32.46,3.4,4,Credit Card
8/10/2025,23:13,BKG100006,Success,CUST3753,Prime Plus,Vijayanagar,Malleswaram,7,16,,,,,,776.56,32.64,4.5,3.1,UPI
8/11/2025,3:41,BKG100007,Success,CUST3293,Prime Plus,Hosakerehalli,Sarjapur Road,10,12,,,,,,672.41,2.19,4.1,4.5,UPI
8/12/2025,13:14,BKG100008,Success,CUST2625,Mini,MG Road,Lavelle Road,10,12,,,,,,1489.42,49.74,3.3,4,Debit Card
8/13/2025,6:21,BKG100009,Cancelled by Customer,CUST9537,Mini,Koramangala,Hosakerehalli,,,Wrong Address,Wrong Address,,,,,,,,Cash
8/14/2025,5:44,BKG100010,Success,CUST9587,Bike,Marathahalli,Hennur,10,17,,,,,,893,9.41,3.5,4.3,Credit Card
8/15/2025,7:55,BKG100011,Success,CUST2821,Prime Sedan,Bommanahalli,Hebbal,3,20,,,,,,560.17,34.97,4.4,3.1,Debit Card
8/16/2025,23:24,BKG100012,Success,CUST7444,Mini,Domlur,Brookefield,4,13,,,,,,311.2,23.93,3.9,3.3,Debit Card
8/17/2025,22:26,BKG100013,Success,CUST1800,Prime Sedan,Mahadevapura,Rajajinagar,4,9,,,,,,655.69,40.91,4.2,4,Wallet
8/18/2025,11:46,BKG100014,Success,CUST3193,Auto,MG Road,RT Nagar,10,5,,,,,,1159.96,49.36,4.6,4.3,Debit Card
8/19/2025,14:59,BKG100015,Success,CUST4378,Bike,Majestic,Chamarajpet,8,18,,,,,,1233.37,9.21,4.2,4.1,Credit Card
8/20/2025,10:53,BKG100016,Success,CUST3243,Auto,Yeshwanthpur,Marathahalli,8,12,,,,,,778.9,30.3,4.1,3.3,Cash
8/9/2025,0:09,BKG100017,Incomplete,CUST1974,Auto,MG Road,Rajajinagar,,,,,,Customer Demand,Customer Demand,,,,,Credit Card
8/4/2025,11:20,BKG100018,Incomplete,CUST4678,Bike,Bellandur,Hosakerehalli,,,,,,Customer Demand,Customer Demand,,,,,Cash
8/18/2025,22:20,BKG100019,Success,CUST1117,Prime Plus,RT Nagar,Bommanahalli,4,13,,,,,,427.89,6.33,4.8,4.7,Credit Card
8/2/2025,12:55,BKG100020,Cancelled by Customer,CUST9129,Auto,Ulsoor,Banashankari,,,Driver asked to cancel,Driver asked to cancel,,,,,,,,Cash
8/12/2025,23:42,BKG100021,Cancelled by Customer,CUST7028,Bike,Marathahalli,Sadashivanagar,,,Driver is not moving towards pickup location,Driver is not moving towards pickup location,,,,,,,,UPI
8/23/2025,13:30,BKG100022,Cancelled by Driver,CUST8939,Auto,Horamavu,Bommanahalli,,,,,Customer related issue,,,,,,,Wallet
8/30/2025,23:51,BKG100023,Success,CUST1287,Prime Sedan,Whitefield,Nagawara,4,18,,,,,,1482.15,12.59,4,4.9,Cash
8/3/2025,20:13,BKG100024,Success,CUST5098,eBike,Majestic,Rajajinagar,10,12,,,,,,1472.09,41.32,3.2,3,Cash
8/28/2025,6:35,BKG100025,Cancelled by Customer,CUST6885,Prime Plus,Basavanagudi,Shanti Nagar,,,Driver asked to cancel,Driver asked to cancel,,,,,,,,Debit Card
8/6/2025,21:44,BKG100026,Cancelled by Customer,CUST7492,eBike,Vijayanagar,Bommanahalli,,,Change of plans,Change of plans,,,,,,,,UPI
8/8/2025,17:33,BKG100027,Cancelled by Customer,CUST9556,Prime Plus,Nagarbhavi,Nagawara,,,Change of plans,Change of plans,,,,,,,,Cash
8/7/2025,2:47,BKG100028,Success,CUST4519,Bike,Yeshwanthpur,Bellandur,2,20,,,,,,674.97,41.16,4.7,4.8,Wallet
8/24/2025,7:10,BKG100029,Success,CUST3021,Bike,Indiranagar,Bommanahalli,6,15,,,,,,772.06,42.32,3.4,3.1,Credit Card
8/20/2025,13:39,BKG100030,Success,CUST2382,Prime SUV,JP Nagar,Hoodi,6,6,,,,,,1484.91,17.85,3.3,4.6,Debit Card
8/2/2025,8:22,BKG100031,Success,CUST3159,Mini,Kadubeesanahalli,Kadubeesanahalli,6,16,,,,,,879.33,34.74,4.3,3.5,UPI
8/1/2025,3:54,BKG100032,Success,CUST9873,eBike,HSR Layout,Sadashivanagar,9,6,,,,,,953.82,23.58,3.6,4.9,Wallet
8/12/2025,7:51,BKG100033,Success,CUST3070,eBike,Chickpet,KR Puram,7,6,,,,,,1446.26,33.9,4.2,3.9,Credit Card
8/22/2025,3:49,BKG100034,Success,CUST6683,Mini,Marathahalli,BTM Layout,7,16,,,,,,1199.8,9.47,3.4,3.1,Wallet
8/8/2025,10:37,BKG100035,Incomplete,CUST7277,Bike,Hennur,Indiranagar,,,,,,Other Issue,Other Issue,,,,,Debit Card
8/11/2025,15:18,BKG100036,Success,CUST6274,Prime SUV,Banashankari,BTM Layout,3,6,,,,,,508.34,42.2,4.4,3.1,Wallet
8/15/2025,17:01,BKG100037,Cancelled by Customer,CUST9328,Bike,Bellandur,HSR Layout,,,Wrong Address,Wrong Address,,,,,,,,UPI
8/6/2025,16:21,BKG100038,Cancelled by Driver,CUST8834,eBike,Shanti Nagar,Kengeri,,,,,More than permitted people in there,,,,,,,Debit Card
8/12/2025,20:37,BKG100039,Incomplete,CUST4184,Auto,Yeshwanthpur,RT Nagar,,,,,,Vehicle Breakdown,Vehicle Breakdown,,,,,Credit Card
8/8/2025,12:58,BKG100040,Success,CUST6294,Prime Sedan,Shivaji Nagar,Hebbal,6,11,,,,,,799.98,23.37,4,4.4,Wallet
8/1/2025,4:24,BKG100041,Cancelled by Customer,CUST7488,Mini,Nagawara,Kudlu Gate,,,AC is not working,AC is not working,,,,,,,,Cash
8/24/2025,21:01,BKG100042,Success,CUST2704,eBike,Rajajinagar,Marathahalli,7,5,,,,,,568.11,41.47,4.9,3.8,UPI
8/17/2025,5:43,BKG100043,Cancelled by Customer,CUST8529,Mini,Lavelle Road,Basavanagudi,,,Driver is not moving towards pickup location,Driver is not moving towards pickup location,,,,,,,,Cash
8/30/2025,6:29,BKG100044,Cancelled by Customer,CUST7826,Bike,KR Puram,RT Nagar,,,Driver is not moving towards pickup location,Driver is not moving towards pickup location,,,,,,,,Debit Card
8/13/2025,11:16,BKG100045,Success,CUST9788,Mini,Malleswaram,Koramangala,3,6,,,,,,690.18,16.98,4,3.9,Wallet
8/8/2025,5:53,BKG100046,Success,CUST3226,Bike,Hosakerehalli,Seshadripuram,10,11,,,,,,1102.93,23.7,3.4,4.7,UPI
8/23/2025,13:48,BKG100047,Cancelled by Customer,CUST1320,Prime SUV,Basaveshwaranagar,Lavelle Road,,,Driver is not moving towards pickup location,Driver is not moving towards pickup location,,,,,,,,Credit Card
8/24/2025,23:18,BKG100048,Success,CUST2431,Mini,Kadubeesanahalli,Bellandur,8,13,,,,,,1442.17,19.32,3.4,4.2,UPI
8/21/2025,10:00,BKG100049,Cancelled by Customer,CUST1302,Prime SUV,Mahadevapura,Bommanahalli,,,Change of plans,Change of plans,,,,,,,,Credit Card
8/11/2025,4:28,BKG100050,Success,CUST1115,Bike,Bommanahalli,Indiranagar,3,20,,,,,,324.65,34.77,4.5,3.5,Cash
8/5/2025,16:49,BKG100051,Success,CUST7080,Bike,Majestic,Nagarbhavi,4,13,,,,,,576.31,43.81,4.4,3.7,Cash
8/13/2025,11:50,BKG100052,Cancelled by Customer,CUST2477,Bike,Wilson Garden,Shivaji Nagar,,,Change of plans,Change of plans,,,,,,,,Credit Card
8/5/2025,12:31,BKG100053,Success,CUST1978,Bike,Whitefield,Domlur,2,15,,,,,,1035.76,28.18,4,4.6,Cash
8/27/2025,18:50,BKG100054,Cancelled by Customer,CUST4229,Prime SUV,Horamavu,Bannerghatta Road,,,Change of plans,Change of plans,,,,,,,,UPI
8/25/2025,15:17,BKG100055,Success,CUST8176,Mini,Basavanagudi,Banashankari,9,6,,,,,,623.5,10.54,4,4.6,Credit Card
8/15/2025,5:41,BKG100056,Success,CUST9418,Prime Sedan,Banashankari,Brookefield,4,10,,,,,,198.02,11.93,3.8,3.6,UPI
8/29/2025,20:00,BKG100057,Cancelled by Customer,CUST1814,Mini,Rajajinagar,Malleswaram,,,Driver asked to cancel,Driver asked to cancel,,,,,,,,Cash
8/18/2025,18:20,BKG100058,Success,CUST3450,Prime Plus,KR Puram,Basavanagudi,10,7,,,,,,868.9,10.78,4.9,4.4,UPI
8/13/2025,5:22,BKG100059,Cancelled by Driver,CUST1103,Mini,Seshadripuram,Kengeri,,,,,Customer related issue,,,,,,,Cash
8/18/2025,19:54,BKG100060,Cancelled by Driver,CUST7920,Prime SUV,MG Road,JP Nagar,,,,,Personal & Car related issues,,,,,,,UPI
8/14/2025,7:06,BKG100061,Success,CUST7119,Prime SUV,Bannerghatta Road,Mahadevapura,3,12,,,,,,547.96,46.28,4.2,4.5,Credit Card
8/30/2025,10:56,BKG100062,Incomplete,CUST9187,Prime SUV,MG Road,Kudlu Gate,,,,,,Other Issue,Other Issue,,,,,Debit Card
8/6/2025,0:26,BKG100063,Success,CUST3202,Bike,Nagawara,Basaveshwaranagar,2,18,,,,,,1480.06,12.77,4.1,3.6,Credit Card
8/26/2025,1:09,BKG100064,Incomplete,CUST4556,Prime SUV,Bellandur,Basavanagudi,,,,,,Customer Demand,Customer Demand,,,,,Cash
8/1/2025,13:19,BKG100065,Success,CUST7505,Auto,Shanti Nagar,Banashankari,2,18,,,,,,1378.83,6.75,3.8,3.3,Cash
